"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
362,7/9/2012 0:00:00,"Grouse Point","JB","M50","Seed","Tamias minimus",3942.00,"3942","Recap","Male","Non-scrotal",,,,42.00,"Called S in hand, but NS in other captures",
363,7/11/2012 0:00:00,"Grouse Point","SY","M48","Seed","Tamias minimus",3942.00,"3942","Recap","Male","Non-scrotal",,,,42.00,,
364,7/8/2012 0:00:00,"Grouse Point","SY","M48","PB","Tamias minimus",3943.00,"3943","Ear tag","Female","Non-reprod.",95.00,29.00,13.00,40.00,,"ID verified with skull"
365,7/9/2012 0:00:00,"Grouse Point","SY","M50","PB","Tamias minimus",3943.00,"3943","Recap","Female","Non-reprod.",,,,38.00,,"ID verified with skull"
366,7/11/2012 0:00:00,"Grouse Point","JH","M50","PB","Tamias minimus",3943.00,"3943","Recap; Collected","Female","Non-reprod.",,,,40.00,,"ID verified with skull"
367,7/8/2012 0:00:00,"Grouse Point","SK","R6","PB","Tamias quadrivittatus",3944.00,"3944","Ear tag","Female","Reprod.",104.00,32.00,15.00,65.00,,"Originally noted as T. minimus, but skull indicated T. quadrivittatus"
368,7/9/2012 0:00:00,"Grouse Point","JH","R4","Seed","Tamias quadrivittatus",3944.00,"3944","Recap","Female","Reprod.",,,,65.00,,"Originally noted as T. minimus, but skull indicated T. quadrivittatus"
369,7/10/2012 0:00:00,"Grouse Point","SK","R4","Seed","Tamias quadrivittatus",3944.00,"3944","Recap; Collected","Female","Reprod.",,,,60.00,,"Originally noted as T. minimus, but skull indicated T. quadrivittatus"
370,7/8/2012 0:00:00,"Grouse Point","JB","F50","PB","Tamias minimus",3948.00,"3948","Ear tag","Female","Non-reprod.",100.00,28.00,14.00,39.00,,
371,7/9/2012 0:00:00,"Grouse Point","JH","F56","Seed","Tamias minimus",3948.00,"3948","Recap","Female","Non-reprod.",,,,36.00,,
372,7/8/2012 0:00:00,"Grouse Point","SY","F50","Seed","Tamias minimus",3949.00,"3949","Ear tag","Male","Non-scrotal",92.00,27.00,13.00,39.00,,
373,7/9/2012 0:00:00,"Grouse Point","SK","F43","Seed","Tamias minimus",3949.00,"3949","Recap","Male","Non-scrotal",,,,37.00,"Called S in hand, but NS in other captures",
374,7/11/2012 0:00:00,"Grouse Point","SK","F44","Seed","Tamias minimus",3949.00,"3949","Recap","Male","Non-scrotal",,,,40.00,,
375,7/7/2012 0:00:00,"Grouse Point","JB","W1","Seed","Tamias minimus",3952.00,"3952","Ear tag","Male","Scrotal",95.00,28.00,15.00,40.00,"In torpor",
376,7/7/2012 0:00:00,"Grouse Point","JH","W3","Seed","Tamias minimus",3953.00,"3953","Ear tag","Female","Reprod.",105.00,27.00,13.00,52.00,,
377,7/8/2012 0:00:00,"Grouse Point","SY","W5","Seed","Tamias minimus",3953.00,"3953","Recap","Female","Reprod.",,,,50.00,,
